,Predict
0,76.58134
1,62.253002
2,39.929085
3,39.929085
6,43.16686
7,38.227276
9,39.446014
12,43.281002
14,46.839325
15,49.83594
17,54.876728
18,40.233387
19,42.163177
20,41.528244
24,52.54336
25,52.65461
26,42.980217
27,51.900673
28,37.47219
29,36.84977
30,53.891148
33,41.992577
38,41.823997
40,50.506348
41,43.281002
43,50.685223
44,41.143604
45,34.749516
46,14.922642
47,40.827435
49,32.67288
50,39.69919
53,49.26816
56,41.992577
58,50.770363
60,53.836685
62,9.847313
65,54.822266
69,70.75122
72,33.425407
73,35.277863
74,29.016954
75,38.91013
76,39.663784
77,27.726742
78,36.043797
80,34.959133
83,28.261652
85,39.292973
86,39.425056
90,48.01879
91,46.86525
92,44.895203
93,54.974773
94,54.3867
95,43.908966
96,46.783283
98,47.37908
101,44.703735
103,54.489048
104,53.873474
109,60.20913
110,61.55444
111,59.466988
112,68.502495
113,66.50945
114,50.74734
115,56.125988
117,68.549934
120,52.510494
122,66.10627
123,72.58774
127,63.699585
128,65.189735
129,60.208626
130,72.12409
131,67.97425
132,57.233677
133,57.002277
135,72.87278
138,54.774216
140,68.84082
141,72.886185
143,64.3035
145,64.14053
146,65.66909
147,61.452206
148,72.50689
149,68.987564
150,57.668262
151,58.347416
153,73.38244
155,55.915035
157,68.84082
158,72.886185
350,16.183445
351,25.082537
352,31.892212
353,36.57101
354,41.13089
355,67.01291
356,55.17642
357,76.15841
358,61.76781
359,76.31162
360,40.79393
361,59.88815
362,56.211708
363,51.02912
364,54.649128
365,44.207798
366,39.21157
367,55.315395
368,47.162636
369,48.525562
370,52.214893
372,40.79393
377,58.01317
379,61.799305
381,66.785645
447,51.03056
448,51.03056
449,51.03056
450,53.024876
451,24.271566
452,24.271566
453,24.271566
454,42.569717
455,42.569717
456,42.569717
457,56.799652
458,56.799652
459,56.799652
460,55.618046
461,49.28484
462,47.452225
463,47.157658
464,22.93583
465,24.996325
466,24.977743
467,37.949196
468,42.980904
469,41.450436
470,56.38507
471,56.38507
472,60.020004
473,54.9647
474,54.9647
475,55.029488
476,57.151382
477,25.320326
478,33.783413
479,58.851315
480,26.674566
481,37.509937
482,59.78599
483,61.87163
484,31.18158
485,68.66048
486,39.162724
487,65.00847
488,31.23742
489,40.074528
490,66.637184
499,60.720833
500,60.720833
501,25.05447
502,25.05447
503,37.233994
504,37.233994
505,66.37174
506,66.37174
507,47.794773
510,18.408588
511,47.731106
512,38.741497
513,50.512966
514,40.06895
515,54.07885
516,28.530478
517,15.49866
522,34.48701
523,22.317848
525,41.019493
526,27.137451
537,33.272972
538,23.963835
544,25.41189
545,22.376968
552,21.204609
562,14.495123
565,31.606056
568,36.687794
574,13.505354
575,20.707249
576,25.071455
577,32.0804
578,34.844517
579,36.154167
580,37.687042
592,33.43746
597,34.440613
598,36.149883
599,12.513878
600,28.317736
601,32.873215
607,17.162111
608,30.472486
613,25.135653
614,37.103554
615,42.081882
616,30.471321
619,20.143839
620,34.37547
700,35.66995
701,38.249504
702,14.270256
703,17.135681
704,31.818615
705,37.53832
706,39.511597
707,14.762246
708,10.3236475
709,33.30268
710,39.570442
711,40.588314
716,29.441526
717,44.425354
718,53.456398
719,37.582157
722,12.5351715
723,25.228264
724,32.81572
725,36.530518
726,44.260277
727,51.85814
728,59.619648
729,67.528984
730,69.26139
731,70.47014
732,71.408646
733,18.304928
734,22.517868
735,27.79591
736,30.289911
737,31.227623
738,32.704597
739,6.314556
740,11.943506
741,22.516853
742,23.687532
743,31.8586
744,39.124413
745,40.42517
746,15.435937
747,13.442992
748,24.007534
749,36.687794
750,11.545539
752,21.163708
753,31.490654
760,15.324928
761,16.518791
762,31.342125
763,37.086037
764,17.927645
765,33.215023
766,39.570442
767,40.722305
768,41.41108
769,17.998604
770,26.586725
771,62.116558
772,47.58856
773,50.829292
774,54.125866
775,40.274364
778,31.58077
779,18.994194
780,39.533443
781,48.463272
782,23.893991
783,36.938263
785,14.664807
786,27.888563
787,34.739967
788,36.557983
789,37.69592
790,31.926369
791,42.402668
792,47.53399
793,55.423225
794,60.91286
795,64.88637
796,20.3605
797,25.218939
798,30.242
799,21.914446
800,38.271877
801,24.164793
802,50.081375
803,73.45955
812,38.75951
816,30.13295
828,33.51671
831,40.19885
836,37.082375
839,31.407806
844,31.100729
849,29.45724
852,31.157854
859,23.739307
862,38.247284
873,43.64565
894,24.910543
912,36.15399
915,31.157854
922,23.739307
925,38.247284
936,44.961872
957,24.910543
969,38.75951
973,30.13295
985,33.51671
988,40.19885
993,37.77633
996,31.407806
1001,31.100729
